segment,seri_no,ram_gb,kamera_mp,ekran_boyutu,batarya_mah,storage_gb,cihaz_durum,cihaz_fiyat,cikis_yili
0,8,2,12,4,1821,64,1,6349,2017
0,9,3,12,4,1821,128,0,7299,2020
0,8,3,12,5,2691,64,1,7849,2017
0,9,3,12,4,1821,64,0,7899,2020
0,8,3,12,5,2691,64,2,8049,2017
0,9,3,12,4,1821,64,1,8099,2020
0,8,3,12,5,2691,64,3,8249,2017
0,9,3,12,4,1821,64,2,8299,2020
0,9,3,12,4,1821,128,0,8899,2020
0,9,3,12,4,1821,128,2,9299,2020
0,8,3,12,5,2691,128,2,9299,2017
0,10,3,12,5,2716,64,0,9399,2017
0,10,3,12,5,2716,128,3,9399,2017
0,8,3,12,5,2691,128,3,9499,2017
0,10,3,12,5,2716,64,1,9599,2017
0,9,3,12,4,1821,256,0,9599,2020
0,10,3,12,5,2716,64,2,9799,2017
0,10,3,12,5,2716,64,3,9999,2017
0,8,3,12,5,2691,256,1,10149,2017
0,10,3,12,5,2716,256,1,10399,2017
0,9,3,12,4,1821,256,3,10399,2020
0,8,3,12,5,2691,256,2,10449,2017
0,10,4,12,5,2716,64,2,10699,2017
0,8,3,12,5,2691,256,3,10749,2017
0,10,3,12,5,2716,256,2,11699,2017
0,11,4,12,6,3110,64,3,12199,2019
0,11,4,12,6,3110,64,3,12499,2019
0,11,4,12,6,3110,64,0,13199,2019
0,11,4,12,6,3110,64,0,13699,2019
0,11,4,12,6,3110,64,1,13699,2019
0,11,4,12,6,3110,128,0,13999,2019
0,11,4,12,6,3110,64,1,14199,2019
0,11,4,12,6,3110,128,1,14199,2019
0,11,4,12,6,3110,128,1,14499,2019
0,12,4,12,5,2227,64,1,14599,2020
0,11,4,12,6,3110,64,2,14699,2019
0,11,4,12,6,3110,64,3,14999,2019
0,11,4,12,6,3110,64,2,15199,2019
0,11,4,12,6,3110,64,3,15499,2019
0,11,4,12,6,3110,128,2,15699,2019
0,11,4,12,6,3110,128,0,16499,2019
0,11,4,12,6,3110,128,1,16999,2019
0,11,4,12,6,3110,128,0,16999,2019
0,11,4,12,6,3110,128,1,17499,2019
0,11,4,12,6,3110,256,2,17699,2019
0,11,4,12,6,3110,128,2,18199,2019
0,12,4,12,5,2227,64,2,18449,2020
0,11,4,12,6,3110,128,3,18499,2019
0,12,4,12,5,2227,64,0,18599,2020
0,11,4,12,6,3110,128,2,18699,2019
0,11,4,12,6,3110,256,0,18699,2019
0,12,4,12,5,2227,64,1,18899,2020
0,11,4,12,6,3110,128,3,18999,2019
0,11,4,12,6,3110,256,1,19199,2019
0,12,4,12,5,2227,64,2,19199,2020
0,11,4,12,6,3110,256,0,19199,2019
0,12,4,12,6,2815,64,0,19299,2020
0,12,4,12,5,2227,64,3,19499,2020
0,11,4,12,6,3110,256,1,19699,2019
0,12,4,12,5,2227,128,0,19849,2020
0,11,4,12,6,3969,64,1,20099,2019
0,11,4,12,6,3110,256,2,20199,2019
0,12,4,12,6,2815,64,2,20399,2020
0,11,4,12,6,3969,64,2,20399,2019
0,11,4,12,6,3110,256,3,20499,2019
0,12,4,12,5,2227,128,0,20599,2020
0,11,4,12,6,3969,64,3,20699,2019
0,12,4,12,6,2815,64,3,20699,2020
0,11,4,12,6,3110,256,2,20699,2019
0,11,4,12,5,3046,64,1,20899,2019
0,11,4,12,6,3110,256,3,20999,2019
0,11,4,12,5,3046,64,0,21099,2019
0,12,4,12,5,2227,128,2,21199,2020
0,11,4,12,5,3046,64,2,21199,2019
0,11,4,12,5,3046,64,1,21399,2019
0,11,4,12,5,3046,64,2,21699,2019
0,12,4,12,6,2815,64,0,21849,2020
0,11,4,12,5,3046,64,3,21999,2019
0,12,4,12,6,2815,64,1,22149,2020
0,11,4,12,6,3969,64,0,22399,2019
0,12,4,12,5,2227,256,2,22449,2020
0,12,4,12,6,2815,64,0,22599,2020
0,12,4,12,5,2227,256,0,22599,2020
0,12,4,12,6,2815,64,1,22899,2020
0,12,4,12,5,2227,256,1,22899,2020
0,12,4,12,6,2815,64,2,22949,2020
0,11,4,12,5,3046,256,0,22999,2019
0,12,4,12,5,2227,256,2,23199,2020
0,12,4,12,6,2815,64,3,23249,2020
0,11,4,12,6,3969,64,1,23399,2019
0,11,4,12,5,3046,256,0,23499,2019
0,11,4,12,6,3969,64,3,23499,2019
0,12,4,12,6,2815,64,2,23699,2020
0,11,4,12,6,3969,64,2,23699,2019
0,12,4,12,6,2815,128,0,23749,2020
0,12,4,12,6,2815,64,3,23999,2020
0,11,4,12,6,3969,64,3,23999,2019
0,11,4,12,5,3046,256,2,23999,2019
0,11,4,12,5,3046,256,1,23999,2019
0,12,4,12,6,2815,128,1,24049,2020
0,11,4,12,5,3046,256,3,24299,2019
0,12,4,12,6,2815,128,0,24499,2020
0,11,4,12,5,3046,256,2,24499,2019
0,12,4,12,6,2815,128,1,24799,2020
0,11,4,12,5,3046,256,3,24799,2019
0,12,4,12,6,2815,128,2,24949,2020
0,11,4,12,6,3969,256,0,25049,2019
0,11,4,12,6,3969,512,2,25099,2019
0,12,4,12,6,2815,128,3,25249,2020
0,11,4,12,6,3969,256,1,25349,2019
0,11,4,12,6,3969,256,0,25549,2019
0,11,4,12,6,3969,256,2,25649,2019
0,12,4,12,6,2815,128,2,25699,2020
0,11,4,12,6,3969,256,1,25849,2019
0,12,4,12,6,2815,128,3,25999,2020
0,11,4,12,6,3969,256,2,26149,2019
0,11,4,12,5,3046,512,0,26599,2019
0,11,4,12,5,3046,512,1,26899,2019
0,12,4,12,6,2815,256,1,27149,2020
0,11,4,12,5,3046,512,2,27199,2019
0,12,4,12,6,2815,256,2,27449,2020
0,12,4,12,6,2815,256,0,27599,2020
0,13,4,12,6,3227,128,2,27699,2021
0,12,4,12,6,2815,256,3,27749,2020
0,12,4,12,6,2815,256,1,27899,2020
0,12,4,12,6,2815,256,2,28199,2020
0,11,4,12,6,3969,512,2,28199,2019
0,12,6,12,6,2815,128,0,28299,2020
0,11,4,12,6,3969,512,1,28399,2019
0,12,4,12,6,2815,256,3,28499,2020
0,13,4,12,5,2406,128,0,28599,2021
0,11,4,12,6,3969,512,2,28699,2019
0,13,4,12,5,2406,128,2,29199,2021
0,13,4,12,5,2406,128,0,29599,2021
0,13,4,12,6,3227,128,0,29699,2021
0,13,4,12,5,2406,128,1,29899,2021
0,13,4,12,6,3227,128,1,29999,2021
0,13,4,12,5,2406,128,2,30199,2021
0,13,4,12,6,3227,128,2,30299,2021
0,13,4,12,5,2406,128,3,30499,2021
0,13,4,12,6,3227,128,3,30599,2021
0,13,4,12,6,3227,128,0,30699,2021
0,12,6,12,6,2815,128,0,30849,2020
0,13,4,12,5,2406,256,1,30899,2021
0,13,4,12,6,3227,128,1,30999,2021
0,12,6,12,6,2815,128,1,31149,2020
0,13,4,12,6,3227,128,2,31299,2021
0,12,6,12,6,2815,128,0,31599,2020
0,13,4,12,6,3227,128,3,31599,2021
0,12,6,12,6,2815,128,1,31899,2020
0,12,6,12,6,2815,128,2,31949,2020
0,12,6,12,6,2815,128,3,32249,2020
0,12,6,12,6,2815,512,1,32299,2020
0,12,6,12,6,2815,256,0,32349,2020
0,12,6,12,6,3687,128,0,32499,2020
0,12,6,12,6,2815,256,1,32649,2020
0,12,6,12,6,2815,128,2,32699,2020
